,country,year,adjcov,unadjcov,netden,totden,barglev2,coninv,govin,barglev1,confed1,confed2,confed3,confed4,confed5,confed6,confed7,confed8,conmem1,conmem2,conmem3,conmem5,unaffmem,conmem4,conmem6,conmem7,conmem8,con11,con12,con13,con14,con21,con22,con23,con24,nat11,nat12,nat13,nat14,nat15,nat21,nat22,nat23,nat24,nat25,emconv1,emconv2,emconv3,emconv4,emconv5,emafv1,emafv2,emafv3,emafv4,emafv5,contot,herf,apphrf1,apphrf2,apphrf3,apphrf4,apphrfwt,apphrfr1,apphrfr2,apphrfr3,apphrfr4,conshre,apphrfbl
258,ARL,1962,NA,NA,0.476799101,54.19561005,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,ARL,1963,NA,NA,0.477777779,54.29539108,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,1019900,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1,1019900,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509059131,NA
260,ARL,1964,NA,NA,0.471939445,53.63612747,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,ARL,1965,NA,NA,0.47198987,53.64258575,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,1104300,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1,1104300,1,0.014775904,NA,NA,NA,0.014775904,0.014775904,NA,NA,NA,0.521831572,0.014775904
262,ARL,1966,NA,NA,0.449278831,51.04567337,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,ARL,1967,NA,NA,0.440232545,50.03023148,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,1328300,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1,1328300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617440641,NA
264,ARL,1968,NA,NA,0.438291132,49.51853561,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,ARL,1969,NA,NA,0.436123341,49.31938171,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,1405400,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,1,1405400,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627662897,NA
266,ARL,1970,NA,NA,0.434405416,49.33135986,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,ARL,1971,NA,NA,0.445291579,50.52956772,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,1525400,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,1525400,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622053683,NA
